MSHA ID,Year,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Coal_Supply_Region,Production_(short_tons),Average_Employees,Labor_Hours,log_production
103381,2013,Tacoa Highwall Miner,Alabama,Bibb,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,"Jesse Creek Mining, Llc","1615 Kent Dairy Rd, Alabaster, AL 35007", ,Appalachia Southern,56004,10,22392,10.933178395737816
103404,2013,Reid School Mine,Alabama,Blount,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Taft Coal Sales & Associates,","3000 Riverchase Galleria Ste 1, Birmingham, AL 35244",UNIT,Appalachia Southern,28807,18,28447,10.268373692146376
100759,2013,North River #1 Underground Min,Alabama,Fayette,"Active, men working, not producing",Underground,Independent Producer Operator,Mine and Preparation Plant,Jim Walter Resources Inc,"3114 County Rd 63 S, Berry, AL 35546",UNIT,Appalachia Southern,1440115,183,474784,14.180233529474565
103246,2013,Bear Creek,Alabama,Franklin,Active,Surface,Independent Producer Operator,Mine only,"Birmingham Coal & Coke Co., In","912 Edenton Street, Birmingham, AL 35242", ,Appalachia Southern,87587,13,29193,11.380387864085359
103451,2013,Knight Mine,Alabama,Franklin,Active,Surface,Independent Producer Operator,Mine only,"Birmingham Coal & Coke Co., In","P.O. Box 354, Lynn, AL 35242", ,Appalachia Southern,147499,27,46393,11.901576675078013
103433,2013,Crane Central Mine,Alabama,Jackson,Temporarily closed,Surface,Independent Producer Operator,Mine only,Alabama Carbon Llc,"5957 Windswept Blvd, Wise, VA 24293", ,Appalachia Southern,69339,27,47195,11.146762797444799
100851,2013,Oak Grove Mine,Alabama,Jefferson,Active,Underground,Operating Subsidiary,Mine only,Oak Grove Resources Llc,"8360 Taylors Ferry Rd, Hueytown, AL 35023",UNIT,Appalachia Southern,2269014,447,1001809,14.634855933861939
102901,2013,Shoal Creek Mine,Alabama,Jefferson,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,Drummond Company Inc,"P.O. Box 1549, Jasper, AL 35501",United Mine Workers of America,Appalachia Southern,1453024,571,1237415,14.189157459965903
103180,2013,Sloan Mountain Mine,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,"M S & R Equipment Company, Inc","2600 Warrior Jasper Road, Warrior, AL 35180", ,Appalachia Southern,327780,84,196963,12.700097930617819
103182,2013,Fishtrap,Alabama,Jefferson,Active,Surface,Operating Subsidiary,Mine only,C&h Mining,"3699 Industrial Parkway, Jasper, AL 35501", ,Appalachia Southern,175058,30,87314,12.072872626566763
103285,2013,Narley Mine,Alabama,Jefferson,Active,Surface,Operating Subsidiary,Mine only,Best Coal Inc,"2600 Warrior Jasper Rd, Warrior, AL 35180", ,Appalachia Southern,154861,39,90584,11.9502832193653
103332,2013,Powhatan Mine,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,Rac Mining Llc,"P.O. Box 354, Lynn, AL 35575", ,Appalachia Southern,140521,27,61394,11.85311222277915
103375,2013,Johnson Mine,Alabama,Jefferson,Temporarily closed,Surface,Independent Producer Operator,Mine only,Cahaba Resources Llc,"P.O. Box 122, Vance, AL 35490", ,Appalachia Southern,580,2,1900,6.363028103540465
103419,2013,Maxine-Pratt Mine,Alabama,Jefferson,Active,Underground,Independent Producer Operator,Mine only,Warrior Investments Company In,"218 Highway 195, Jasper, AL 35503", ,Appalachia Southern,125824,43,107469,11.742639384066784
103432,2013,Skelton Creek,Alabama,Jefferson,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Kennedy Brothers Construction,","17160 Lock 17 Rd, Brookwood, AL 35444", ,Appalachia Southern,8252,3,220,9.018210874191142
103437,2013,Black Warrior Mine No 1,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,"Black Warrior Minerals, Inc.","P.O. Box 1190, Sumiton, AL 35148", ,Appalachia Southern,145924,27,70926,11.89084121721315
